transaction_id,transaction_date,user_id,status,total_amount,payment_method_id
201635,2020-03-19 13:12:43 UTC,10671,Completed,2560000,1
302777,2020-12-12 08:29:15 UTC,10572,Completed,2560000,1
201475,2020-02-15 20:14:16 UTC,20893,Completed,3680000,1
202753,2020-07-10 07:38:09 UTC,20794,Completed,800000,1
202834,2020-08-02 06:58:15 UTC,20596,Completed,800000,1
202845,2020-08-05 22:44:33 UTC,10390,Completed,800000,1
202858,2020-08-08 20:37:03 UTC,10426,Completed,800000,1
202955,2020-09-02 08:10:56 UTC,20698,Completed,800000,1
202963,2020-09-05 07:45:49 UTC,10463,Completed,800000,1
202984,2020-09-10 17:37:42 UTC,10428,Completed,800000,1
203059,2020-09-27 14:10:51 UTC,10501,Completed,800000,1
303063,2021-01-24 10:27:26 UTC,20011,Completed,800000,1
304352,2021-04-25 16:42:34 UTC,20837,Completed,800000,1
305410,2021-07-01 16:29:25 UTC,20658,Completed,800000,1
305429,2021-07-06 18:25:39 UTC,20828,Completed,800000,1
305575,2021-08-12 07:04:28 UTC,10442,Completed,800000,1
305640,2021-08-30 11:41:20 UTC,10512,Completed,800000,1
305662,2021-09-04 20:01:40 UTC,20741,Completed,800000,1
305769,2021-09-30 09:46:00 UTC,10479,Completed,800000,1
306838,2021-10-02 15:41:53 UTC,10558,Completed,800000,1
306984,2021-11-02 11:08:22 UTC,20746,Completed,800000,1
306988,2021-11-03 08:41:27 UTC,20554,Completed,800000,1
307011,2021-11-08 12:02:08 UTC,20704,Completed,800000,1
307135,2021-12-01 20:10:32 UTC,20745,Completed,800000,1
201500,2020-02-21 16:08:12 UTC,10573,Completed,3360000,1
302040,2020-10-05 13:58:12 UTC,10632,Completed,3360000,1
203289,2020-07-29 18:10:14 UTC,10599,Completed,1920000,1
203651,2020-09-17 14:24:11 UTC,20879,Completed,1920000,1
203682,2020-09-22 09:48:06 UTC,10573,Completed,1920000,1
305091,2021-06-26 07:05:18 UTC,20887,Completed,1920000,1
306056,2021-08-10 16:14:01 UTC,20875,Completed,1920000,1
307754,2021-12-23 07:21:37 UTC,10587,Completed,1920000,1
201311,2020-01-05 11:42:56 UTC,20884,Completed,3040000,1
302454,2020-11-13 08:20:19 UTC,20869,Completed,3040000,1
302839,2020-12-18 08:34:10 UTC,20884,Completed,3040000,1
201245,2020-03-09 22:06:38 UTC,20585,Completed,1600000,1
203034,2020-09-21 08:12:49 UTC,10412,Completed,1600000,1
301664,2020-11-11 22:04:56 UTC,20785,Completed,1600000,1
301250,2020-11-25 21:21:05 UTC,20455,Completed,160000,1
303119,2021-02-22 12:11:18 UTC,20535,Completed,160000,1
202371,2020-06-04 07:39:27 UTC,20885,Completed,2880000,1
303548,2021-01-10 06:32:24 UTC,10562,Completed,2880000,1
201237,2020-03-05 17:42:03 UTC,10556,Completed,1440000,1
201904,2020-05-05 21:24:26 UTC,10398,Completed,1440000,1
203832,2020-07-01 12:44:47 UTC,20687,Cancelled,1440000,1
203103,2020-07-05 08:09:02 UTC,10598,Completed,1440000,1
307895,2020-10-08 07:09:40 UTC,20587,Cancelled,1440000,1
301803,2020-12-04 21:27:55 UTC,10532,Completed,1440000,1
303404,2021-03-03 12:42:39 UTC,20779,Completed,1440000,1
305818,2021-07-07 14:49:33 UTC,20898,Completed,1440000,1
307274,2021-10-04 10:47:08 UTC,20937,Completed,1440000,1
307314,2021-10-10 15:41:35 UTC,20862,Completed,1440000,1
307378,2021-10-20 14:34:36 UTC,20917,Completed,1440000,1
307481,2021-11-06 13:50:40 UTC,21000,Completed,1440000,1
201064,2020-02-19 09:16:10 UTC,10321,Completed,85000,1
201096,2020-03-20 08:59:18 UTC,20204,Completed,85000,1
201099,2020-03-22 15:07:27 UTC,10224,Completed,85000,1
201745,2020-05-12 14:35:17 UTC,20538,Completed,85000,1
301137,2020-10-30 21:08:16 UTC,20058,Completed,85000,1
301164,2020-11-06 06:26:05 UTC,10275,Completed,85000,1
301166,2020-11-06 22:23:54 UTC,10159,Completed,85000,1
202298,2020-05-21 11:41:58 UTC,20965,Completed,2325000,1
203282,2020-07-28 15:41:07 UTC,20857,Completed,885000,1
203444,2020-08-20 08:16:25 UTC,10575,Completed,885000,1
304791,2021-05-05 21:23:25 UTC,20922,Completed,885000,1
304793,2021-05-06 13:21:21 UTC,20935,Completed,885000,1
304913,2021-05-27 06:11:49 UTC,20920,Completed,885000,1
307478,2021-11-06 09:31:52 UTC,20850,Completed,885000,1
302034,2020-10-05 06:54:16 UTC,10572,Completed,3976200,1
308217,2021-05-15 15:17:45 UTC,10516,Cancelled,1770000,1
301038,2020-10-09 20:08:54 UTC,10322,Completed,330000,1
201958,2020-05-27 20:02:29 UTC,10498,Completed,1450000,1
202007,2020-06-14 20:26:18 UTC,20564,Completed,1450000,1
202042,2020-06-30 15:18:42 UTC,20779,Completed,1450000,1
203102,2020-07-05 06:50:41 UTC,10587,Completed,1450000,1
203125,2020-07-08 10:22:00 UTC,20879,Completed,1450000,1
203718,2020-09-27 15:31:05 UTC,10561,Completed,1450000,1
307899,2020-10-16 07:12:02 UTC,20676,Cancelled,1450000,1
308112,2021-03-22 06:48:24 UTC,20613,Cancelled,1450000,1
304967,2021-06-04 06:24:38 UTC,10600,Completed,1450000,1
201394,2020-01-25 16:15:14 UTC,20873,Completed,3690000,1
303338,2021-02-14 20:20:20 UTC,20629,Completed,2250000,1
202326,2020-05-25 10:34:41 UTC,20989,Completed,3370000,1
302225,2020-10-21 22:51:41 UTC,20889,Completed,4490000,1
303343,2021-02-15 20:00:34 UTC,10372,Completed,1610000,1
301599,2020-10-30 10:34:42 UTC,20800,Completed,1290000,1
301808,2020-12-05 21:02:28 UTC,10369,Completed,1290000,1
306290,2021-09-06 17:55:18 UTC,10665,Completed,1290000,1
306372,2021-09-17 20:06:40 UTC,20922,Completed,1290000,1
203699,2020-09-24 12:33:50 UTC,10567,Completed,970000,1
305025,2021-06-13 09:45:13 UTC,10562,Completed,970000,1
305856,2021-07-12 22:16:51 UTC,10584,Completed,970000,1
306179,2021-08-23 09:05:21 UTC,10626,Completed,970000,1
203236,2020-07-23 16:26:35 UTC,20874,Completed,842000,1
203297,2020-07-30 12:51:47 UTC,10576,Completed,842000,1
203482,2020-08-24 20:03:15 UTC,20883,Completed,842000,1
203543,2020-09-02 15:27:07 UTC,10586,Completed,842000,1
305930,2021-07-22 06:54:29 UTC,20991,Completed,842000,1
306224,2021-08-28 22:02:14 UTC,20962,Completed,842000,1
301545,2020-10-20 10:43:29 UTC,20672,Completed,2090000,1
202882,2020-08-13 15:37:54 UTC,20586,Completed,650000,1
202937,2020-08-25 10:49:17 UTC,20754,Completed,650000,1
